DRIVER_ID,DRIVER_MODAL,DRIVER_TYPE
7938,motoboy,freelance
7953,biker,freelance
7956,biker,freelance
7958,biker,freelance
7967,motoboy,freelance
7977,biker,freelance
7995,motoboy,freelance
8009,biker,freelance
8013,motoboy,freelance
8024,biker,freelance
8025,motoboy,freelance
8060,motoboy,freelance
8091,motoboy,freelance
8092,motoboy,logistic operator
8102,motoboy,logistic operator
8122,motoboy,logistic operator
8128,motoboy,freelance
8133,motoboy,freelance
8149,motoboy,freelance
8161,biker,freelance
8182,motoboy,freelance
8191,biker,freelance
8193,motoboy,freelance
8224,biker,freelance
8226,biker,freelance
8231,motoboy,freelance
8266,motoboy,freelance
8276,motoboy,freelance
8289,biker,freelance
8301,motoboy,freelance
8302,biker,freelance
8314,motoboy,freelance
8315,biker,freelance
8326,biker,freelance
8338,motoboy,freelance
8378,motoboy,freelance
8434,motoboy,freelance
8456,motoboy,logistic operator
8467,biker,freelance
8498,motoboy,freelance
8510,motoboy,freelance
8514,motoboy,freelance
8521,biker,freelance
8529,biker,freelance
8531,motoboy,logistic operator
8588,motoboy,freelance
8590,motoboy,freelance
8592,biker,freelance
8597,motoboy,freelance
8598,motoboy,logistic operator
8615,biker,freelance
8642,biker,freelance
8654,biker,freelance
8655,biker,freelance
8672,motoboy,freelance
8694,biker,freelance
8697,motoboy,freelance
8698,motoboy,freelance
8702,motoboy,freelance
8708,biker,freelance
8710,biker,freelance
8713,motoboy,freelance
8769,motoboy,freelance
8771,biker,freelance
8811,biker,freelance
8838,biker,freelance
8840,motoboy,freelance
8855,biker,freelance
8878,motoboy,freelance
8909,biker,freelance
8925,motoboy,freelance
8933,motoboy,freelance
8940,biker,freelance
8958,motoboy,logistic operator
8959,motoboy,logistic operator
8964,motoboy,logistic operator
8970,biker,freelance
8979,motoboy,logistic operator
8983,motoboy,freelance
8986,motoboy,freelance
9022,biker,freelance
9025,motoboy,logistic operator
9033,biker,freelance
9043,motoboy,freelance
9062,biker,freelance
9070,motoboy,freelance
9095,motoboy,freelance
9129,motoboy,freelance
9131,biker,freelance
9171,biker,freelance
9175,biker,freelance
9177,motoboy,freelance
9182,biker,freelance
9184,motoboy,freelance
9186,biker,freelance
9190,biker,freelance
9194,motoboy,freelance
9210,biker,freelance
9211,biker,freelance
9212,biker,freelance
9222,motoboy,freelance
9227,biker,freelance
9231,biker,freelance
9232,biker,freelance
9241,biker,freelance
9244,motoboy,freelance
9250,motoboy,freelance
9262,motoboy,freelance
9282,motoboy,freelance
9284,motoboy,freelance
9299,biker,freelance
9301,biker,freelance
9304,motoboy,freelance
9315,biker,freelance
9317,motoboy,freelance
9339,motoboy,freelance
9341,biker,freelance
9345,motoboy,logistic operator
9353,motoboy,freelance
9354,motoboy,freelance
9369,motoboy,freelance
9372,motoboy,freelance
9375,motoboy,freelance
9380,motoboy,freelance
9391,motoboy,freelance
9392,motoboy,freelance
9400,motoboy,freelance
9407,biker,freelance
9433,biker,freelance
9461,motoboy,freelance
9509,motoboy,freelance
9517,biker,freelance
9540,motoboy,freelance
9547,biker,freelance
9560,motoboy,freelance
9583,biker,freelance
9584,biker,freelance
9598,biker,freelance
9600,biker,freelance
9612,motoboy,freelance
9618,motoboy,freelance
9624,motoboy,freelance
9627,motoboy,freelance
9634,biker,freelance
9638,motoboy,freelance
9654,biker,freelance
9663,biker,freelance
9669,motoboy,freelance
9682,motoboy,freelance
9693,biker,freelance
9709,motoboy,freelance
9716,biker,freelance
9724,motoboy,freelance
9761,biker,freelance
9782,motoboy,freelance
9784,motoboy,freelance
9788,biker,freelance
9791,motoboy,freelance
9793,biker,freelance
9794,motoboy,freelance
9796,biker,freelance
9805,motoboy,freelance
9806,motoboy,logistic operator
9823,motoboy,freelance
9827,biker,freelance
9828,motoboy,freelance
9836,motoboy,freelance
9853,motoboy,freelance
9855,motoboy,logistic operator
9891,biker,freelance
9894,biker,freelance
9908,motoboy,freelance
9921,motoboy,freelance
9922,motoboy,freelance
9924,motoboy,freelance
9926,motoboy,freelance
9938,motoboy,freelance
9941,biker,freelance
9944,biker,freelance
9945,biker,freelance
9952,motoboy,freelance
9966,motoboy,freelance
9975,motoboy,freelance
9980,motoboy,freelance
9989,biker,freelance
9996,biker,freelance
10011,motoboy,freelance
10018,motoboy,freelance
10019,motoboy,freelance
10023,motoboy,freelance
10024,biker,freelance
10028,motoboy,freelance
10041,biker,freelance
10042,motoboy,freelance
10047,motoboy,freelance
10050,motoboy,freelance
10053,motoboy,logistic operator
10057,biker,freelance
10061,biker,freelance
10066,biker,freelance
10073,motoboy,freelance
10075,biker,freelance
10091,motoboy,logistic operator
10096,biker,freelance
10127,motoboy,freelance
10129,motoboy,freelance
10150,motoboy,logistic operator
10180,motoboy,freelance
10194,motoboy,freelance
10200,motoboy,freelance
10214,motoboy,freelance
10225,motoboy,freelance
10239,biker,freelance
10242,motoboy,freelance
10259,biker,freelance
10271,motoboy,logistic operator
10281,motoboy,freelance
10292,motoboy,freelance
10293,motoboy,freelance
10294,motoboy,freelance
10297,motoboy,freelance
10298,biker,freelance
10306,motoboy,freelance
10337,biker,freelance
10341,motoboy,logistic operator
10359,motoboy,logistic operator
10368,biker,freelance
10372,biker,freelance
10378,motoboy,freelance
10379,motoboy,freelance
10381,motoboy,freelance
10382,motoboy,freelance
10397,motoboy,freelance
10454,motoboy,freelance
10455,biker,freelance
10456,motoboy,freelance
10463,motoboy,logistic operator
10469,motoboy,freelance
10503,biker,freelance
10504,motoboy,freelance
10514,motoboy,freelance
10519,motoboy,freelance
10530,motoboy,freelance
10534,motoboy,freelance
10545,biker,freelance
10560,motoboy,freelance
10561,biker,freelance
10569,motoboy,freelance
10598,motoboy,logistic operator
10601,biker,freelance
10607,motoboy,freelance
10614,motoboy,logistic operator
10616,motoboy,logistic operator
10626,biker,freelance
10627,motoboy,freelance
10636,motoboy,freelance
10639,biker,freelance
10648,biker,freelance
10651,motoboy,logistic operator
10654,motoboy,freelance
10666,motoboy,freelance
10682,motoboy,freelance
10685,motoboy,logistic operator
10692,motoboy,freelance
10717,biker,freelance
10756,biker,freelance
10763,motoboy,freelance
10765,biker,freelance
10776,motoboy,freelance
10790,motoboy,freelance
10794,motoboy,freelance
10799,motoboy,freelance
10800,motoboy,logistic operator
10803,motoboy,freelance
10804,biker,freelance
10817,motoboy,freelance
10824,motoboy,freelance
10830,motoboy,freelance
10831,biker,freelance
10832,biker,freelance
10848,biker,freelance
10877,biker,freelance
10882,motoboy,freelance
10911,motoboy,freelance
10915,motoboy,freelance
10920,motoboy,freelance
10926,biker,freelance
10927,motoboy,freelance
10932,biker,freelance
10953,motoboy,freelance
10964,motoboy,freelance
10975,motoboy,freelance
10978,biker,freelance
10988,motoboy,freelance
10998,motoboy,freelance
11027,motoboy,freelance
11032,biker,freelance
11037,biker,freelance
11063,motoboy,freelance
11076,motoboy,freelance
11084,motoboy,freelance
11087,motoboy,freelance
11114,motoboy,freelance
11121,biker,freelance
11125,motoboy,freelance
11160,biker,freelance
11162,biker,freelance
11166,motoboy,freelance
11171,motoboy,freelance
11172,biker,freelance
11187,motoboy,freelance
11189,motoboy,freelance
11230,biker,freelance
11250,motoboy,freelance
11262,motoboy,freelance
11263,motoboy,freelance
11285,biker,freelance
11301,motoboy,freelance
11312,biker,freelance
11319,biker,freelance
11330,motoboy,freelance
11366,motoboy,freelance
11393,biker,freelance
11404,biker,freelance
11419,motoboy,freelance
11420,biker,freelance
11428,motoboy,freelance
11432,biker,freelance
11451,motoboy,freelance
11455,biker,freelance
11457,motoboy,freelance
11466,motoboy,logistic operator
11468,biker,freelance
11475,biker,freelance
11480,motoboy,logistic operator
11482,motoboy,freelance
11487,biker,freelance
11490,biker,freelance
11494,motoboy,logistic operator
11504,motoboy,freelance
11514,motoboy,freelance
11522,motoboy,logistic operator
11525,biker,freelance
11533,motoboy,freelance
11535,motoboy,freelance
11536,biker,freelance
11545,motoboy,freelance
11560,motoboy,freelance
11574,biker,freelance
11585,biker,freelance
11595,motoboy,freelance
11611,biker,freelance
11615,motoboy,freelance
11630,motoboy,freelance
11632,biker,freelance
11698,motoboy,freelance
11728,motoboy,freelance
11734,biker,freelance
11753,motoboy,freelance
11756,motoboy,freelance
11806,biker,freelance
11815,biker,freelance
11857,motoboy,freelance
11869,motoboy,logistic operator
11887,motoboy,freelance
11895,motoboy,freelance
11904,biker,freelance
11907,biker,freelance
11911,motoboy,freelance
11916,motoboy,freelance
11917,motoboy,logistic operator
11918,motoboy,freelance
11928,motoboy,freelance
11930,motoboy,freelance
11937,motoboy,freelance
11941,biker,freelance
11959,biker,freelance
11960,motoboy,freelance
11990,biker,freelance
11997,motoboy,freelance
12016,motoboy,freelance
12023,biker,freelance
12041,biker,freelance
12045,motoboy,freelance
12062,biker,freelance
12076,motoboy,freelance
12077,motoboy,logistic operator
12079,biker,freelance
12081,biker,freelance
12091,biker,freelance
12096,motoboy,freelance
12117,motoboy,freelance
12119,motoboy,freelance
12132,motoboy,logistic operator
12136,motoboy,freelance
12138,motoboy,freelance
12140,biker,freelance
12148,motoboy,freelance
12178,motoboy,freelance
12182,biker,freelance
12186,motoboy,freelance
12214,biker,freelance
12227,biker,freelance
12255,biker,freelance
12269,biker,freelance
12290,motoboy,freelance
12297,biker,freelance
12330,biker,freelance
12346,motoboy,logistic operator
12347,motoboy,freelance
12386,biker,freelance
12390,motoboy,freelance
12396,motoboy,freelance
12416,biker,freelance
12432,motoboy,freelance
12440,motoboy,freelance
12457,motoboy,freelance
12472,motoboy,freelance
12516,motoboy,freelance
12527,biker,freelance
12538,motoboy,logistic operator
12544,motoboy,freelance
12551,motoboy,freelance
12586,biker,freelance
12601,biker,freelance
12613,motoboy,logistic operator
12620,motoboy,freelance
12624,biker,freelance
